time,voltage
1737189496.7261,29.9701067
1737189497.7456,29.9690462
1737189498.775,29.9677149
1737189499.8525,29.9702043
1737189500.8775,29.9683236
1737189501.9048,29.9707262
1737189502.9761,29.967725
1737189504.0069,29.9704732
1737189505.0337,29.9679679
1737189506.1068,29.969917
1737189507.1306,29.9700012
1737189508.161,29.9685248
1737189509.2415,29.9698108
1737189510.2633,29.9698006
1737189511.2926,29.9680826
1737189512.3623,29.969081
1737189513.4012,29.9677516
1737189514.4317,29.9704982
1737189515.4966,29.967963
1737189516.5203,29.9693335
1737189517.5541,29.9694424
1737189518.6243,29.969819
1737189519.6485,29.9682514
1737189520.685,29.9702407
1737189521.7501,29.9677624
1737189522.7785,29.970512
1737189523.8083,29.9676308
1737189524.8784,29.9706803
1737189525.9044,29.968573
1737189526.936,29.9682265
1737189527.957,29.9707114
1737189529.0265,29.9675946
1737189530.057,29.9706065
1737189531.0868,29.9682481
1737189532.1483,29.9701446
1737189533.1766,29.9701399
1737189534.2068,29.9676985
1737189535.285,29.9705447
1737189536.3168,29.97048
1737189537.3399,29.9680951
1737189538.407,29.9696713
1737189539.4365,29.9696979
1737189540.4626,29.9679155
1737189541.4969,29.9703543
1737189542.5569,29.9679933
1737189543.5833,29.9681266
1737189544.6119,29.9706195
1737189545.6885,29.9681158
1737189546.7208,29.9682618
1737189547.747,29.9690138
1737189548.8063,29.9695837
1737189549.8326,29.9702109
1737189550.8624,29.9677337
1737189551.9277,29.970102
1737189552.9484,29.9705471
1737189553.9818,29.9675673
1737189555.0076,29.9703773
1737189556.0685,29.9682357
1737189557.0948,29.9698467
1737189558.1238,29.9678612
1737189559.1949,29.9704951
1737189560.2178,29.9681658
1737189561.2383,29.9683276
1737189562.3166,29.9687968
1737189563.3454,29.9685695
1737189564.3768,29.9705198
1737189565.4467,29.9676679
1737189566.4761,29.9705445
1737189567.4967,29.9697318
1737189568.5241,29.9679152
1737189569.587,29.9705052
1737189570.6171,29.9705649
1737189571.6474,29.9682035
1737189572.7166,29.9699746
1737189573.7382,29.9693606
1737189574.7664,29.9680972
1737189575.7985,29.9699142
1737189576.8597,29.968214
1737189577.8869,29.9678207
1737189578.9142,29.9705724
1737189579.9772,29.9677196
1737189581.0172,29.9705875
1737189582.047,29.967706
1737189583.1006,29.9691396
1737189584.1313,29.969334
1737189585.1589,29.9698836
1737189586.2192,29.9681494
1737189587.2439,29.9678807
1737189588.2717,29.9695618
1737189589.304,29.9686153
1737189590.3369,29.9700237
1737189591.3646,29.9679068
1737189592.425,29.969555
1737189593.455,29.9685453
1737189594.4848,29.9701046
1737189595.5451,29.9682867
1737189596.5667,29.9677714
1737189597.5957,29.9705247
1737189598.6257,29.9677831
1737189599.6854,29.9705527
1737189600.7122,29.968573
1737189601.7464,29.9700964
1737189602.8096,29.9680422
1737189603.8368,29.9683076
1737189604.8657,29.97024
1737189605.9299,29.9678217
1737189606.956,29.9683612
1737189607.9902,29.9684583
1737189609.0555,29.9699182
1737189610.086,29.9704739
1737189611.11,29.9680387
1737189612.177,29.9705233
1737189613.207,29.9689473
1737189614.2369,29.9685862
1737189615.2934,29.9703127
1737189616.3171,29.9698841
1737189617.3437,29.9698578
1737189618.4165,29.9683835
1737189619.454,29.9677869
1737189620.5347,29.9675887
1737189621.5669,29.9702718
1737189622.5915,29.9678654
1737189623.6575,29.9706418
1737189624.6829,29.9705574
1737189625.7132,29.9678715
1737189626.7777,29.9705322
1737189627.7982,29.970284
1737189628.8233,29.9704208
1737189629.9018,29.9678661
1737189630.9382,29.9679653
1737189631.9677,29.970622
1737189632.9983,29.969708
1737189634.0251,29.970165
1737189635.0882,29.9690383
1737189636.1224,29.9695639
1737189637.1464,29.9699318
1737189638.2256,29.9675565
1737189639.2619,29.9681332
1737189640.2864,29.9706242
1737189641.3526,29.9676964
1737189642.3869,29.9703637
1737189643.4129,29.967938
1737189644.4831,29.9698966
1737189645.5164,29.9691375
1737189646.5991,29.9681654
1737189647.6243,29.9682549
1737189648.6484,29.9702494
1737189649.6747,29.9678325
1737189650.7331,29.9696107
1737189651.7677,29.9696551
1737189652.7899,29.9701596
1737189653.8614,29.9680039
1737189654.8883,29.9706166
1737189655.917,29.9676611
1737189656.9793,29.9676696
1737189658.0374,29.9705767
1737189659.0667,29.9704161
1737189660.0931,29.968533
1737189661.1715,29.9681513
1737189662.1981,29.9681421
1737189663.2329,29.9702128
1737189664.299,29.9682679
1737189665.3271,29.9702936
1737189666.3537,29.9676632
1737189667.4231,29.9705894
1737189668.4551,29.9681169
1737189669.4817,29.9704876
