time,wavenumber
1737189496.4011,
1737189497.4108,12816.461865726666
1737189498.4127,12816.461869665494
1737189499.4141,12816.461868513794
1737189500.4206,12816.461870824158
1737189501.4273,12816.461874370629
1737189502.4347,12816.461863702376
1737189503.4361,12816.461876967202
1737189504.4418,12816.46187411034
1737189505.4514,12816.461874732538
1737189506.4593,12816.461870319352
1737189507.4672,12816.461872305106
1737189508.4771,12816.461873093442
1737189509.4853,12816.461875206825
1737189510.6413,12816.461867331684
1737189511.65,12816.461873170423
1737189512.6587,12816.461875408702
1737189513.6705,12816.46187752167
1737189514.6795,12816.461873883773
1737189515.6895,12816.461875594297
1737189516.6927,12816.461875255989
1737189517.6966,12816.461869563927
1737189518.7045,12816.461866711657
1737189519.7103,12816.46187662267
1737189520.7202,12816.461878137348
1737189521.7295,12816.461873486971
1737189522.7374,12816.461870988436
1737189523.747,12816.461876627256
1737189524.7568,12816.461875743054
1737189525.7633,12816.461867923214
1737189526.7682,12816.46187193434
1737189527.7737,12816.461881265872
1737189528.7819,12816.461875436738
1737189529.7921,12816.461875691299
1737189530.7972,12816.461874244313
1737189531.8031,12816.46186947627
1737189532.8104,12816.46187794951
1737189533.8182,12816.461877242227
1737189534.8273,12816.461880320767
1737189535.8354,12816.46187500465
1737189536.8424,12816.461877246462
1737189537.8486,12816.461878375481
1737189538.854,12816.46187140609
1737189539.8637,12816.461873470567
1737189540.8727,12816.461871409392
1737189541.8803,12816.461878847593
1737189542.89,12816.46187498544
1737189543.8977,12816.46187392021
1737189544.9046,12816.461880364273
1737189545.9122,12816.461873844228
1737189546.9195,12816.461875600067
1737189547.9292,12816.46187281704
1737189548.9383,12816.461869157181
1737189549.9439,12816.46186700036
1737189550.951,12816.46187158342
1737189551.9587,12816.46187376865
1737189552.9689,12816.461869666125
1737189553.9787,12816.461869777222
1737189554.9871,12816.46186869354
1737189555.9963,12816.461868988446
1737189557.0028,12816.46187724801
1737189558.0099,12816.461880129236
1737189559.0169,12816.461874155972
1737189560.0252,12816.461873792174
1737189561.0348,12816.461873140444
1737189562.0438,12816.461879679437
1737189563.0482,12816.461876162917
1737189564.0569,12816.461873340128
1737189565.0646,12816.461876862726
