time,wavenumber,data
1737189496.8079,12805.693108023519,[]
1737189496.8183,12805.693108023519,[]
1737189496.8183,12805.693108023519,"[[0, -1, -1]]"
1737189496.8286,12805.693108023519,[]
1737189496.8286,12805.693108023519,"[[1, -1, -1]]"
1737189496.8388,12805.693108023519,[]
1737189496.8388,12805.693108023519,"[[2, -1, -1]]"
1737189496.8489,12805.693108023519,[]
1737189496.8489,12805.693108023519,"[[3, -1, -1]]"
1737189496.8591,12805.693108023519,[]
1737189496.8591,12805.693108023519,"[[4, -1, -1]]"
1737189496.8691,12805.693108023519,[]
1737189496.8691,12805.693108023519,"[[5, -1, -1]]"
1737189496.8794,12805.693108023519,[]
1737189496.8794,12805.693108023519,"[[6, -1, -1]]"
1737189496.8896,12805.693108023519,[]
1737189496.8896,12805.693108023519,"[[7, -1, -1]]"
1737189496.8997,12805.693108023519,[]
1737189496.8997,12805.693108023519,"[[8, -1, -1]]"
1737189496.9099,12805.693108023519,[]
1737189496.9099,12805.693108023519,"[[9, -1, -1]]"
1737189496.9203,12805.693108023519,[]
1737189496.9203,12805.693108023519,"[[10, -1, -1]]"
1737189496.9303,12805.693108023519,[]
1737189496.9303,12805.693108023519,"[[11, -1, -1]]"
1737189496.9405,12805.693108023519,[]
1737189496.9405,12805.693108023519,"[[12, -1, -1]]"
1737189496.9507,12805.693108023519,[]
1737189496.9507,12805.693108023519,"[[13, -1, -1]]"
1737189496.9611,12805.693108023519,[]
1737189496.9611,12805.693108023519,"[[14, -1, -1]]"
1737189496.9713,12805.693108023519,[]
1737189496.9713,12805.693108023519,"[[15, 1, 20071], [15, 4, 20103], [15, -1, -1]]"
1737189496.9816,12805.693108023519,[]
1737189496.9816,12805.693108023519,"[[16, -1, -1]]"
1737189496.9919,12805.693108023519,[]
1737189496.9919,12805.693108023519,"[[17, -1, -1]]"
1737189497.002,12805.693108023519,[]
1737189497.002,12805.693108023519,"[[18, -1, -1]]"
1737189497.0181,12805.693108023519,[]
1737189497.0181,12805.693108023519,"[[19, -1, -1], [20, -1, -1]]"
1737189497.034,12805.693108023519,[]
1737189497.034,12805.693108023519,"[[21, -1, -1], [22, -1, -1]]"
1737189497.0437,12805.693108023519,[]
1737189497.0437,12805.693108023519,"[[23, 1, 21951], [23, 4, 21983], [23, 1, 22017], [23, 4, 22048], [23, -1, -1]]"
1737189497.0541,12805.693108023519,[]
1737189497.0541,12805.693108023519,"[[24, -1, -1]]"
1737189497.0642,12805.693108023519,[]
1737189497.0642,12805.693108023519,"[[25, -1, -1]]"
1737189497.0797,12805.693108023519,[]
1737189497.0797,12805.693108023519,"[[26, -1, -1]]"
1737189497.0954,12805.693108023519,[]
1737189497.0954,12805.693108023519,"[[27, -1, -1], [28, 1, 21820], [28, 4, 21852], [28, 1, 21885], [28, 4, 21917], [28, -1, -1]]"
1737189497.111,12805.693108023519,[]
1737189497.111,12805.693108023519,"[[29, -1, -1]]"
1737189497.1267,12805.693108023519,[]
1737189497.1271,12805.693108023519,"[[30, -1, -1], [31, -1, -1]]"
1737189497.1418,12805.693108023519,[]
1737189497.1418,12805.693108023519,"[[32, -1, -1]]"
1737189497.155,12805.693152221505,[]
1737189497.155,12805.693152221505,"[[33, -1, -1], [34, -1, -1]]"
1737189497.1708,12805.693152221505,[]
1737189497.1708,12805.693152221505,"[[35, -1, -1]]"
1737189497.1781,12805.693152221505,[]
1737189497.1781,12805.693152221505,"[[36, -1, -1]]"
1737189497.1932,12805.693152221505,[]
1737189497.1932,12805.693152221505,"[[37, -1, -1], [38, -1, -1]]"
1737189497.2093,12805.693152221505,[]
1737189497.2093,12805.693152221505,"[[39, -1, -1]]"
1737189497.2219,12805.693152221505,[]
1737189497.2219,12805.693152221505,"[[40, -1, -1]]"
1737189497.2401,12805.693152221505,[]
1737189497.2401,12805.693152221505,"[[41, -1, -1], [42, -1, -1]]"
1737189497.2557,12805.693152221505,[]
1737189497.2557,12805.693152221505,"[[43, 1, 20088], [43, 4, 20120], [43, -1, -1], [44, -1, -1]]"
1737189497.2709,12805.693152221505,[]
1737189497.2709,12805.693152221505,"[[45, -1, -1]]"
1737189497.2775,12805.693152221505,[]
1737189497.2775,12805.693152221505,"[[46, -1, -1]]"
1737189497.2871,12805.693152221505,[]
1737189497.2871,12805.693152221505,"[[47, -1, -1]]"
1737189497.2973,12805.693152221505,[]
1737189497.2973,12805.693152221505,"[[48, -1, -1]]"
1737189497.3074,12805.693152221505,[]
1737189497.3074,12805.693152221505,"[[49, -1, -1]]"
1737189497.3177,12805.693152221505,[]
1737189497.3177,12805.693152221505,"[[50, -1, -1]]"
1737189497.3277,12805.693152221505,[]
1737189497.3277,12805.693152221505,"[[51, -1, -1]]"
1737189497.3379,12805.693152221505,[]
1737189497.3379,12805.693152221505,"[[52, -1, -1]]"
1737189497.348,12805.693152221505,[]
1737189497.348,12805.693152221505,"[[53, -1, -1]]"
1737189497.3671,12805.693152221505,[]
1737189497.3671,12805.693152221505,"[[54, -1, -1], [55, -1, -1]]"
1737189497.3831,12805.693152221505,[]
1737189497.3831,12805.693152221505,"[[56, -1, -1]]"
1737189497.3831,12805.693152221505,"[[57, -1, -1]]"
1737189497.4006,12805.693152221505,[]
1737189497.4006,12805.693152221505,"[[58, -1, -1]]"
1737189497.4108,12805.693152221505,[]
1737189497.4108,12805.693152221505,"[[59, -1, -1]]"
1737189497.429,12805.693152221505,[]
1737189497.429,12805.693152221505,"[[60, -1, -1], [61, -1, -1]]"
1737189497.442,12805.693152221505,[]
1737189497.442,12805.693152221505,"[[62, -1, -1]]"
1737189497.4566,12805.693152221505,[]
1737189497.4566,12805.693152221505,"[[63, -1, -1], [64, -1, -1]]"
1737189497.4711,12805.693152221505,[]
1737189497.4711,12805.693152221505,"[[65, -1, -1]]"
1737189497.4814,12805.693152221505,[]
1737189497.4814,12805.693152221505,"[[66, -1, -1]]"
1737189497.4953,12805.693152221505,[]
1737189497.4953,12805.693152221505,"[[67, -1, -1], [68, -1, -1]]"
1737189497.511,12805.693152221505,[]
1737189497.511,12805.693152221505,"[[69, -1, -1]]"
1737189497.5289,12805.693152221505,[]
1737189497.5289,12805.693152221505,"[[70, -1, -1], [71, -1, -1]]"
1737189497.5394,12805.693152221505,[]
1737189497.5394,12805.693152221505,"[[72, -1, -1]]"
1737189497.5537,12805.693152221505,[]
1737189497.5537,12805.693152221505,"[[73, -1, -1], [74, -1, -1]]"
1737189497.569,12805.693152221505,[]
1737189497.569,12805.693152221505,"[[75, -1, -1]]"
1737189497.5848,12805.693152221505,[]
1737189497.5848,12805.693152221505,"[[76, -1, -1], [77, -1, -1]]"
1737189497.6008,12805.693152221505,[]
1737189497.6008,12805.693152221505,"[[78, -1, -1]]"
1737189497.6165,12805.69321094752,[]
1737189497.6165,12805.69321094752,"[[79, -1, -1], [80, -1, -1]]"
1737189497.6324,12805.69321094752,[]
1737189497.6324,12805.69321094752,"[[81, -1, -1]]"
1737189497.6473,12805.69321094752,[]
1737189497.6473,12805.69321094752,"[[82, -1, -1], [83, -1, -1]]"
1737189497.6627,12805.69321094752,[]
1737189497.6627,12805.69321094752,"[[84, -1, -1]]"
1737189497.6768,12805.69321094752,[]
1737189497.6768,12805.69321094752,"[[85, -1, -1], [86, -1, -1]]"
1737189497.6881,12805.69321094752,[]
1737189497.6881,12805.69321094752,"[[87, -1, -1]]"
1737189497.7059,12805.69321094752,[]
1737189497.7061,12805.69321094752,"[[88, -1, -1], [89, -1, -1]]"
1737189497.7212,12805.69321094752,[]
1737189497.7212,12805.69321094752,"[[90, -1, -1]]"
1737189497.7284,12805.69321094752,[]
1737189497.7284,12805.69321094752,"[[91, 1, 18667], [91, 4, 18699], [91, 1, 18732], [91, 4, 18764], [91, -1, -1]]"
1737189497.7378,12805.69321094752,[]
1737189497.7378,12805.69321094752,"[[92, -1, -1]]"
1737189497.7558,12805.69321094752,[]
1737189497.7558,12805.69321094752,"[[93, -1, -1], [94, -1, -1]]"
1737189497.7719,12805.69321094752,[]
1737189497.7719,12805.69321094752,"[[95, -1, -1]]"
1737189497.7785,12805.69321094752,[]
1737189497.7785,12805.69321094752,"[[96, 1, 20781], [96, 4, 20813], [96, -1, -1]]"
1737189497.7886,12805.69321094752,[]
1737189497.7886,12805.69321094752,"[[97, 1, 20470], [97, 4, 20502], [97, -1, -1]]"
1737189497.8046,12805.69321094752,[]
1737189497.8046,12805.69321094752,"[[98, -1, -1], [99, -1, -1]]"
1737189497.8201,12805.69321094752,[]
1737189497.8201,12805.69321094752,"[[100, -1, -1]]"
1737189497.8285,12805.69321094752,[]
1737189497.8285,12805.69321094752,"[[101, -1, -1]]"
1737189497.8382,12805.69321094752,[]
1737189497.8382,12805.69321094752,"[[102, -1, -1]]"
1737189497.8547,12805.69321094752,[]
1737189497.8547,12805.69321094752,"[[103, -1, -1], [104, -1, -1]]"
1737189497.8724,12805.69321094752,[]
1737189497.8724,12805.69321094752,"[[105, -1, -1]]"
1737189497.8881,12805.69321094752,[]
1737189497.8881,12805.69321094752,"[[106, -1, -1], [107, -1, -1]]"
1737189497.9059,12805.69321094752,[]
1737189497.9059,12805.69321094752,"[[108, -1, -1], [109, -1, -1]]"
1737189497.9215,12805.69321094752,[]
1737189497.9215,12805.69321094752,"[[110, -1, -1]]"
1737189497.9287,12805.69321094752,[]
1737189497.9287,12805.69321094752,"[[111, -1, -1]]"
1737189497.9385,12805.69321094752,[]
1737189497.9385,12805.69321094752,"[[112, -1, -1]]"
1737189497.9549,12805.69321094752,[]
1737189497.9549,12805.69321094752,"[[113, -1, -1], [114, -1, -1]]"
1737189497.9714,12805.69321094752,[]
1737189497.9714,12805.69321094752,"[[115, 1, 20339], [115, 4, 20371], [115, -1, -1]]"
1737189497.9884,12805.69321094752,[]
1737189497.9884,12805.69321094752,"[[116, -1, -1], [117, -1, -1]]"
1737189498.0048,12805.69321094752,[]
1737189498.0048,12805.69321094752,"[[118, -1, -1], [119, -1, -1]]"
1737189498.0203,12805.69321094752,[]
1737189498.0203,12805.69321094752,"[[120, 1, 18865], [120, 4, 18897], [120, -1, -1]]"
1737189498.0286,12805.69321094752,[]
1737189498.0286,12805.69321094752,"[[121, -1, -1]]"
1737189498.0379,12805.69321094752,[]
1737189498.0379,12805.69321094752,"[[122, -1, -1]]"
1737189498.0556,12805.69321094752,[]
1737189498.0556,12805.69321094752,"[[123, -1, -1], [124, -1, -1]]"
1737189498.0718,12805.69321094752,[]
1737189498.0718,12805.69321094752,"[[125, -1, -1]]"
1737189498.0883,12805.69324759555,[]
1737189498.0883,12805.69324759555,"[[126, -1, -1], [127, -1, -1]]"
1737189498.1047,12805.69324759555,[]
1737189498.1047,12805.69324759555,"[[128, -1, -1], [129, -1, -1]]"
1737189498.1202,12805.69324759555,[]
1737189498.1202,12805.69324759555,"[[130, -1, -1]]"
1737189498.139,12805.69324759555,[]
1737189498.139,12805.69324759555,"[[131, -1, -1], [132, -1, -1]]"
1737189498.1553,12805.69324759555,[]
1737189498.1553,12805.69324759555,"[[133, -1, -1], [134, -1, -1]]"
1737189498.1717,12805.69324759555,[]
1737189498.1717,12805.69324759555,"[[135, -1, -1]]"
1737189498.1787,12805.69324759555,[]
1737189498.1787,12805.69324759555,"[[136, -1, -1]]"
1737189498.1883,12805.69324759555,[]
1737189498.1883,12805.69324759555,"[[137, -1, -1]]"
1737189498.2054,12805.69324759555,[]
1737189498.2054,12805.69324759555,"[[138, -1, -1], [139, -1, -1]]"
1737189498.2219,12805.69324759555,[]
1737189498.2219,12805.69324759555,"[[140, -1, -1]]"
1737189498.2288,12805.69324759555,[]
1737189498.2288,12805.69324759555,"[[141, -1, -1]]"
1737189498.2382,12805.69324759555,[]
1737189498.2382,12805.69324759555,"[[142, -1, -1]]"
1737189498.2565,12805.69324759555,[]
1737189498.2565,12805.69324759555,"[[143, -1, -1], [144, -1, -1]]"
1737189498.2724,12805.69324759555,[]
1737189498.2724,12805.69324759555,"[[145, -1, -1], [146, -1, -1]]"
1737189498.2889,12805.69324759555,[]
1737189498.2889,12805.69324759555,"[[147, 1, 21180], [147, 4, 21211], [147, -1, -1]]"
1737189498.3055,12805.69324759555,[]
1737189498.3055,12805.69324759555,"[[148, -1, -1], [149, -1, -1]]"
1737189498.3218,12805.69324759555,[]
1737189498.3218,12805.69324759555,"[[150, -1, -1]]"
1737189498.3288,12805.69324759555,[]
1737189498.3288,12805.69324759555,"[[151, -1, -1]]"
1737189498.3385,12805.69324759555,[]
1737189498.3385,12805.69324759555,"[[152, -1, -1]]"
1737189498.3551,12805.69324759555,[]
