time,voltage
1752866016.7766,29.9902428
1752866017.8034,29.9945527
1752866018.8302,29.9942453
1752866019.9003,29.9901786
1752866020.9269,29.9952372
1752866021.9535,29.9931855
1752866023.0263,29.9908498
1752866024.0532,29.994083
1752866025.0893,29.99063
1752866026.1546,29.9932668
1752866027.181,29.9906544
1752866028.2082,29.9922292
1752866029.2346,29.9950055
1752866030.2979,29.9914605
1752866031.3248,29.9905279
1752866032.3519,29.9929191
1752866033.3786,29.9945171
1752866034.4397,29.9906619
1752866035.4665,29.9907687
1752866036.4932,29.9920059
1752866037.5657,29.9952323
1752866038.5922,29.9905553
1752866039.6174,29.9938787
1752866040.688,29.9942074
1752866041.7252,29.9913315
1752866042.7522,29.9904148
1752866043.8109,29.9929175
1752866044.8375,29.9916091
1752866045.8641,29.9948493
1752866046.9371,29.9932834
1752866047.9635,29.9940455
1752866048.9902,29.9943123
1752866050.0168,29.9903084
1752866051.0742,29.9928781
1752866052.1008,29.990455
1752866053.1275,29.994645
1752866054.1541,29.9938787
1752866055.2146,29.9906031
1752866056.2411,29.9901662
1752866057.2676,29.9928491
1752866058.2941,29.9948186
1752866059.3528,29.9914987
1752866060.4105,29.9923756
1752866061.4373,29.994715
1752866062.4642,29.9905014
1752866063.5395,29.9922498
1752866064.5662,29.9901838
1752866065.5927,29.9924745
1752866066.6624,29.9950646
1752866067.6889,29.9906265
1752866068.7154,29.992713
1752866069.7895,29.995118
1752866070.8154,29.9919483
1752866071.842,29.9950472
1752866072.8693,29.9921559
1752866073.9291,29.9909838
1752866074.9556,29.9908451
1752866075.9821,29.9944098
1752866077.009,29.9935821
1752866078.0744,29.9903206
1752866079.1013,29.9923037
1752866080.1282,29.9946644
1752866081.154,29.9919499
1752866082.2187,29.9911494
1752866083.2459,29.9942767
1752866084.2726,29.9935793
1752866085.2994,29.9906366
1752866086.3638,29.9934073
1752866087.3907,29.9952459
1752866088.4172,29.9921395
1752866089.4906,29.9910543
1752866090.5172,29.9931389
1752866091.5436,29.990656
1752866092.5704,29.993397
1752866093.6305,29.9941511
1752866094.6641,29.9943397
1752866095.6915,29.9932541
1752866096.764,29.9945323
1752866097.7906,29.9917461
1752866098.8171,29.9953333
1752866099.8443,29.9922671
1752866100.9067,29.9910365
1752866101.9333,29.9914793
1752866102.96,29.995312
1752866103.9865,29.9923377
1752866105.0505,29.9908561
1752866106.0772,29.9922207
1752866107.104,29.9951044
1752866108.1317,29.9907833
1752866109.1883,29.9917379
1752866110.2147,29.9903754
1752866111.2413,29.9929589
1752866112.268,29.994693
1752866113.3252,29.9910716
1752866114.3522,29.9932633
