time,Voltage,InjSeeded,Matisse,Diode,OPO,data
1752927162.3558,-202.00000298023224,12805.821238369692,12805.8214074146,12816.46174325418,15865.460891638904,"[[14, -1, -1], [15, -1, -1], [16, -1, -1], [17, -1, -1], [18, -1, -1], [19, -1, -1], [20, -1, -1], [21, -1, -1], [22, -1, -1], [23, -1, -1], [24, -1, -1]]"
1752927162.4668,-199.9999989271164,12805.821299817419,12805.8214074146,12816.46174325418,15865.460891638904,"[[25, -1, -1], [26, -1, -1], [27, -1, -1], [28, -1, -1], [29, -1, -1], [30, -1, -1], [31, -1, -1], [32, -1, -1], [33, -1, -1], [34, -1, -1], [35, -1, -1]]"
1752927162.5769,-197.99999487400055,12805.821299817419,12805.821412400557,12816.461755639182,15865.460891638904,"[[36, -1, -1], [37, -1, -1], [38, -1, -1], [39, -1, -1], [40, -1, -1], [41, -1, -1], [42, -1, -1], [43, -1, -1], [44, -1, -1], [45, -1, -1], [46, -1, -1]]"
1752927162.6883,-195.9999908208847,12805.821170442749,12805.821412400557,12816.461755639182,15865.460891638904,"[[47, -1, -1], [48, -1, -1], [49, -1, -1], [50, -1, -1], [51, -1, -1], [52, -1, -1], [53, -1, -1], [54, -1, -1], [55, -1, -1], [56, -1, -1], [57, -1, -1]]"
1752927162.7988,-193.99998676776886,12805.821170442749,12805.821403337462,12816.46174289784,15865.460891638904,"[[59, -1, -1], [60, -1, -1], [61, -1, -1], [62, -1, -1], [63, -1, -1], [64, -1, -1], [65, -1, -1], [66, -1, -1], [67, -1, -1], [68, -1, -1], [69, -1, -1]]"
1752927162.9083,-191.99998271465302,12805.821123212292,12805.821403337462,12816.46174289784,15865.460891638904,"[[70, -1, -1], [71, -1, -1], [72, -1, -1], [73, -1, -1], [74, -1, -1], [75, -1, -1], [76, -1, -1], [77, -1, -1], [78, -1, -1], [79, -1, -1]]"
1752927163.0173,-189.99997866153717,12805.821123212292,12805.821398049047,12816.461758085528,15865.460891638904,"[[81, -1, -1], [82, -1, -1], [83, -1, -1], [84, 1, 10955], [84, 1, 11158], [84, -1, -1], [85, -1, -1], [86, -1, -1], [87, -1, -1], [88, -1, -1], [89, -1, -1], [90, -1, -1]]"
1752927163.1283,-187.99997460842133,12805.821107204172,12805.821398049047,12816.461755531021,15865.460891638904,"[[92, -1, -1], [93, -1, -1], [94, -1, -1], [95, -1, -1], [96, -1, -1], [97, -1, -1], [98, -1, -1], [99, -1, -1], [100, -1, -1], [101, -1, -1]]"
1752927163.2383,-185.99997055530548,12805.821107204172,12805.82138837097,12816.461755531021,15865.460891638904,"[[103, -1, -1], [104, -1, -1], [105, -1, -1], [106, -1, -1], [107, -1, -1], [108, -1, -1], [109, -1, -1], [110, -1, -1], [111, -1, -1], [112, -1, -1]]"
1752927163.3489,-183.99996650218964,12805.821125718609,12805.82138837097,12816.461749705453,15865.460891638904,"[[114, -1, -1], [115, -1, -1], [116, -1, -1], [117, -1, -1], [118, -1, -1], [119, -1, -1], [120, -1, -1], [121, -1, -1], [122, -1, -1], [123, -1, -1], [124, -1, -1]]"
1752927163.4588,-181.9999624490738,12805.821125718609,12805.821402478023,12816.461749705453,15865.460891638904,"[[125, -1, -1], [126, -1, -1], [127, -1, -1], [128, -1, -1], [129, -1, -1], [130, -1, -1], [131, -1, -1], [132, -1, -1], [133, -1, -1], [134, -1, -1], [135, -1, -1]]"
1752927163.5698,-179.99995839595795,12805.82112129045,12805.821402478023,12816.461754335189,15865.460891638904,"[[136, -1, -1], [137, -1, -1], [138, -1, -1], [139, -1, -1], [140, -1, -1], [141, -1, -1], [142, -1, -1], [143, -1, -1], [144, -1, -1], [145, -1, -1], [146, -1, -1]]"
1752927163.6809,-177.9999543428421,12805.82112129045,12805.821404506554,12816.461754335189,15865.460891638904,"[[147, -1, -1], [148, -1, -1], [149, -1, -1], [150, -1, -1], [151, -1, -1], [152, -1, -1], [153, -1, -1], [154, -1, -1], [155, -1, -1], [156, -1, -1], [157, -1, -1]]"
1752927163.7909,-175.99995028972626,12805.821150149883,12805.821404506554,12816.461757166348,15865.460891638904,"[[158, -1, -1], [159, -1, -1], [160, -1, -1], [161, -1, -1], [162, -1, -1], [163, -1, -1], [164, -1, -1], [165, -1, -1], [166, -1, -1], [167, -1, -1], [168, -1, -1]]"
1752927163.9008,-173.9999462366104,12805.821150149883,12805.821419024212,12816.461757166348,15865.460891638904,"[[169, -1, -1], [170, -1, -1], [171, -1, -1], [172, -1, -1], [173, -1, -1], [174, -1, -1], [175, -1, -1], [176, -1, -1], [177, -1, -1], [178, -1, -1], [179, -1, -1]]"
