time,voltage
1748596467.0819,29.9804081
1748596468.109,29.983731
1748596469.1357,29.981106
1748596470.2106,29.9817163
1748596471.2373,29.9803837
1748596472.264,29.9834063
1748596473.3325,29.982762
1748596474.3593,29.9814389
1748596475.3852,29.9836466
1748596476.4577,29.9816589
1748596477.4846,29.9839287
1748596478.511,29.9817376
1748596479.538,29.9812165
1748596480.5998,29.9839974
1748596481.6264,29.983132
1748596482.6528,29.9807471
1748596483.7227,29.9823172
1748596484.7495,29.9818667
1748596485.7765,29.981098
1748596486.8031,29.9838591
1748596487.8632,29.9813463
1748596488.8897,29.9818456
1748596489.9158,29.9806855
1748596490.9908,29.9839132
1748596492.0176,29.9812833
1748596493.0435,29.9838711
1748596494.0707,29.9808813
1748596495.1306,29.9814159
1748596496.1577,29.9815124
1748596497.1848,29.9835857
1748596498.2576,29.9808478
1748596499.2843,29.9836052
1748596500.3114,29.9808218
1748596501.3381,29.9818268
1748596502.3982,29.9836673
1748596503.4247,29.9829743
1748596504.4513,29.9804411
1748596505.4779,29.9823141
1748596506.5399,29.9832104
1748596507.5666,29.9820051
1748596508.5935,29.9808321
1748596509.6204,29.9836071
1748596510.6815,29.9823129
1748596511.7084,29.9808253
1748596512.735,29.9816926
1748596513.7616,29.9834747
1748596514.822,29.9808722
1748596515.8487,29.9807075
1748596516.8752,29.9822092
1748596517.9471,29.9833967
1748596518.9735,29.981325
1748596520.0,29.983664
1748596521.0266,29.981288
1748596522.0907,29.9810385
1748596523.1174,29.983481
1748596524.144,29.9827049
1748596525.1705,29.9806138
1748596526.2329,29.9834552
1748596527.2594,29.9839083
1748596528.2861,29.9819472
1748596529.3125,29.9806995
1748596530.3761,29.98376
1748596531.4028,29.9832767
1748596532.4285,29.9809596
1748596533.455,29.9814604
1748596534.5191,29.9837392
1748596535.546,29.9819993
1748596536.5721,29.980518
1748596537.6446,29.9835848
1748596538.7009,29.9806852
1748596539.7273,29.9811334
1748596540.7545,29.9816113
1748596541.8279,29.9835689
1748596542.8544,29.9818643
1748596543.8808,29.9837397
1748596544.9074,29.9811217
1748596545.9666,29.9814583
1748596546.9926,29.9814185
1748596548.0192,29.9837553
1748596549.0457,29.9816254
1748596550.1113,29.9809865
1748596551.1395,29.9841489
1748596552.166,29.9811753
1748596553.241,29.9816387
1748596554.2675,29.980591
1748596555.2944,29.9827672
1748596556.3211,29.9831287
1748596557.3848,29.9803647
1748596558.4115,29.9821159
1748596559.4382,29.9831893
1748596560.465,29.9805896
