time,Voltage,First,Diode,data
1748599424.8536,-60.99999865889549,12805.451033050113,12816.46148275471,"[[7, -1, -1], [8, -1, -1], [9, -1, -1], [10, -1, -1], [11, -1, -1]]"
1748599424.9096,-60.00000035762787,12805.451033050113,12816.46148275471,"[[12, -1, -1], [13, -1, -1], [14, -1, -1], [15, -1, -1], [16, -1, -1], [17, -1, -1]]"
1748599424.9656,-59.000002056360245,12805.451025088913,12816.46147455341,"[[18, -1, -1], [19, -1, -1], [20, -1, -1], [21, -1, -1], [22, -1, -1], [23, -1, -1]]"
1748599425.0216,-58.00000375509262,12805.451025088913,12816.46147455341,"[[24, -1, -1], [25, -1, -1], [26, -1, -1], [27, -1, -1], [28, -1, -1]]"
1748599425.0776,-57.000005453825,12805.45102709432,12816.46147968242,"[[29, -1, -1], [30, -1, -1], [31, -1, -1], [32, -1, -1], [33, -1, -1], [34, -1, -1]]"
1748599425.134,-56.00000715255737,12805.45102709432,12816.46147968242,"[[35, -1, -1], [36, -1, -1], [37, -1, -1], [38, 1, 17179], [38, 1, 17215], [38, 1, 17408], [38, -1, -1], [39, -1, -1]]"
1748599425.1906,-55.00000885128975,12805.45102709432,12816.461475514803,"[[41, -1, -1], [42, -1, -1], [43, -1, -1], [44, -1, -1], [45, -1, -1]]"
1748599425.2466,-54.000010550022125,12805.451029770007,12816.461475514803,"[[46, -1, -1], [47, -1, -1], [48, -1, -1], [49, -1, -1], [50, -1, -1], [51, -1, -1]]"
1748599425.3026,-53.0000122487545,12805.451029770007,12816.461476877823,"[[52, -1, -1], [53, -1, -1], [54, -1, -1], [55, -1, -1], [56, -1, -1]]"
1748599425.3586,-52.00001394748688,12805.451024134814,12816.461476877823,"[[57, -1, -1], [58, -1, -1], [59, -1, -1], [60, -1, -1], [61, -1, -1], [62, -1, -1]]"
1748599425.4146,-51.00001564621925,12805.451024134814,12816.461476877823,"[[63, -1, -1], [64, -1, -1], [65, -1, -1], [66, -1, -1], [67, -1, -1], [68, -1, -1]]"
1748599425.4716,-50.00001734495163,12805.451032137295,12816.461476106615,"[[69, -1, -1], [70, -1, -1], [71, -1, -1], [72, -1, -1], [73, -1, -1]]"
1748599425.5286,-49.000019043684006,12805.451032137295,12816.461476106615,"[[74, 1, 13847], [74, 1, 14037], [74, -1, -1], [75, -1, -1], [76, -1, -1], [77, -1, -1], [78, -1, -1], [79, -1, -1]]"
